component,files,loc,kloc,effort_pm,time_months,cost_usd
root,4,405,0.405,0.929049846881327,2.431055282045734,7432.398775050616
backend,26,948,0.948,2.2691332304988334,3.4132398475480255,18153.065843990666
HealthCare_App,40,3756,3.756,9.63103817917502,5.912018554248714,77048.30543340016
